title;abstract;auto_keywords;hand_keywords
МЧС России: число жертв трагедии в Магнитогорске достигло 31;"Тела ещё трёх человек обнаружены на месте взрыва газа в жилом доме в Магнитогорске, сообщили Интерфаксу
 в МЧС РФ.. Обнаружены ещё три тела, всего на данный момент 31 погибший, — сказали в ведомстве.Остаётся неизвестной судьба 10 человек.Утром 31 декабря 2018 года в Магнитогорске в результате взрыва газа произошло обрушение одного из подъездов панельного 10-этажного жилого дома по улице Карла Маркса.";"МЧС;Россия";взрыв газа
Найденный мертвым на парковке на Пярнуском шоссе молодой мужчина скончался в результате падения;"Найденный мертвым вчера в Таллинне на Пярнуском шоссе на парковке офисного здания 27-летний молодой человек скончался в результате несчастного случая.. Руководитель криминального бюро Пыхьяской префектуры Урмет Тамбре сообщил, что на основании собранных сегодня данных полиция может подтвердить, что указывающих на преступление признаков нет и это был несчастный случай. Точное время случившегося выясняется.Тело отправлено на вскрытие, и результаты токсикологии выяснятся позднее.Вчера в 13:25 в Центр тревоги сообщили, что в Таллинне на крыше парковки здания по адресу Пярнуское шоссе, 105 лежит человек. Прибывшие на место происшествия полиция и скорая помощь установили, что это труп 27-летнего мужчины.";"Таллинн;Пярнуское шоссе;Центр тревоги";несчастный случай
Поисковики из клуба Otsing передали останки двух павших советских воинов их родственникам в Россию;"При поддержке генконсула РФ в Нарве Юрия Грибкова и министерства обороны ЭР ида-вирумааский поисковый клуб Otsing передал останки двух советских бойцов, павших в боях за Нарву, их российским родственникам..Останки неизвестных на тот момент бойцов обнаружили поздней осенью 2017 года в 20 километрах от Нарвы.Идентифицировать найденные поисковиками останки удалось по номерам обнаруженных при них наградам. Помогли в этом эстонским коллегам россияне, откликнувшись на призыв членов клуба Otsing на форуме soldat.ru.Оба бойца числились пропавшими без вести. Имя майора Шарыпина Афанасия Васильевича, 1916 года рождения, начальника штаба 104-го минометного полка, установили по номеру ордена Отечественной войны I степени, сержанта Артемьева Евгения Никандровича, 1924 года рождения, — по номерам наград — За боевые заслуги и 
За Оборону Ленинграда .Руководитель клуба Otsing Игорь Седунов отмечает, что передача останков советских бойцов российской стороне возможна только в том случае, если удается найти их родственников в Российской Федерации. Примечательно, что родственница майора Шарыпина несколько лет разыскивала хоть какие-то сведения о нем, а о том, что останки обнаружены эстонскими поисковиками узнала от своей знакомой по порталу ”Одноклассники”, активной участницы поискового движения россиянки Натальи Кругловой, отреагировавшей в свою очередь на призыв Otsing на soldat.ru.";"Россия;Нарва;Игорь Седунов";остатки
Руубен Каалеп: тема ратификации эстонско-российского договора о границе заморожена;"6 мая в эфире Vikerraadio член EKRE Руубен Каалеп сказал, что при нынешнем правительстве не будет обсуждаться вопрос ратификации эстонско-российского договора о границе.. Каалеп подтвердил, что EKRE действительно ушла с коалиционных переговоров со знанием, что эта тема — заморожена.”Мы в любом случае не можем одобрить этот пограничный договор, который легитимизирует разделение территории Эстонии и проезжается по интересам сету, води и ижоров”, — добавил он.";Эстония;"ратификация;пограничный договор"
Проблемный участок Таммсааре теэ теперь регулируют электронные дорожные знаки;"На перекрестке улиц Таммсааре и Тонди в Таллинне запустили новое решение для поддержания дорожной безопасности. Теперь там действуют электронные знаки максимально разрешенной скорости.. Система покрывает отрезок дороги в 1,1 км в обоих направлениях, на котором зафиксировано число ДТП, превышающее средний показатель.В утренние и вечерние часы-пик на месте также будет специалист, который будет следить за движением и при необходимости вмешиваться. в другое же время система работает автоматически.В прошлом году на этом отрезке дороги максимально разрешенную скорость в дневное время сократили до 50 км/ч. Электронные знаки позволяют ограничению скорости быть более гибким.Указанную на дорожных знаках скорость можно понижать как минимум до 30 км/ч, а поднимать максимум до 70 км/ч. Система проста: когда на трассе больше машин, разрешенная скорость меньше в целях поддержания безопасности, а когда машин меньше, то разрешено ехать быстрее.Всего на участке было установлено 12 электронных знаков VSL (Variable Speed Limit), 6 светофоров и 5 порталов. Общая стоимость работ составила 239 336,40 евро, из которых половину поровну покроют OU Tammsaare Arikeskuse, AS Kesko Senukai Estonia и OU ESS KINNISVARA, а вторую половину — город.";"Таммсааре;Таллинн;Tammsaare Arikeskus;ДТП";"электронные знаки;дорожные знаки"
Рейс SmartLynx Родос-Таллинн задерживается более чем на десять часов;"Рейс SmartLynx Airlines Родос-Таллинн, который должен был прибыть в Таллинн сегодня в 17:40, по утверждению читателя Delfi, задерживается на более чем 10 часов.. Проблемы у авиакомпании бывали и ранее. К лету прошлого года недовольные клиенты в течение последних 12 месяцев подали в Департамент защиты прав потребителей 161 заявление, связанное с опозданием вылетов.Представители SmartLynx Airlines пока не пояснили, по каким причинам вылет был отложен.";"Департамент защиты прав потребителей;SmartLynx";"рейс;вылет"
Суд оставил Надежду Савченко на свободе до конца мая;"Броварской суд вновь отложил рассмотрение дела бывшей военной летчицы, депутата Надежды Савченко. Ее обвиняют в подготовке теракта и госпереворота в Украине. Заседание пройдет 31 мая.. Перед началом судебного заседания 7 мая представители Главной военной прокуратуры Украины, которая представляет обвинение, подали ходатайство о повторном аресте подозреваемых — народного депутата Надежды Савченко и председателя партии Офицерский корпус
 Владимира Рубана. Но суд отказался рассматривать ходатайство из-за отсутствия адвокатов последнего. Один из защитников Рубана — Валентин Рыбин — заверил DW в телефонном разговоре, что занят в другом процессе, и заранее уведомил об этом судей.Савченко и Рубан провели за решеткой по подозрению в подготовке теракта и госпереворота в Украине более года и вышли на свободу 16 апреля, когда истек срок предварительно назначенной меры пресечения. В тот день прокуратура так и не добилась продления ареста из-за защитников, которые сами не скрывают, что прибегли к затягиванию процесса.Три недели на свободеЗа прошедшие три недели Надежда Савченко успела не только вернуться к работе в Верховной раде, но и неоднократно являлась в Генпрокуратуру, требуя встречи с ее главой Юрием Луценко.
Буквально вчера я пришла, а мне говорят, что генпрокурор занят, у него другой народный депутат. Почему тогда нельзя было вручить мне копию ходатайства о новом аресте?
, — спрашивала бывшая военная летчица у военного прокурора Александра Климовича, подписывая документ уже в суде.Владимир Рубан, который через десять дней после освобождения уехал из Украины и вернулся буквально накануне 7 мая, отказался знакомиться с ходатайством об аресте, снова сославшись на отсутствие адвокатов.Постоянная смена юрисдикцииАдвокаты из юридической фирмы Barristers, которые защищают Надежду Савченко, заявили, что на следующем заседании будут добиваться перевода рассмотрения дела в один из столичных судов. Это может снова затянуть начало рассмотрения дела по существу. Обвинительный акт в отношение Рубана и Савченко не могут объявить с января из-за постоянной смены юрисдикции.СБУ и ГПУ объявили Савченко и Рубану подозрение в подготовке террористического акта и госпереворота еще в марте 2018 года. По версии следствия, оба якобы планировали минометный обстрел Верховной рады с баржи на Днепре, штурм правительственного квартала тактическими группами, захват власти и установление военной диктатуры.Глава ГПУ Юрий Луценко даже демонстрировал видеозапись, где подозреваемые обсуждают этот план с офицерами армейского спецназа, которые на самом деле были агентами спецслужб под прикрытием.Подозреваемые просят об охранеВо вторник Надежда Савченко заявила об угрозах со стороны упомянутых спецназовцев, которые она и ее сестра Вера получали в течение последнего года. 
После выхода на свободу я обратилась в МВД с просьбой об охране, на которую имею право как депутат и как участник судебного процесса. Однако мою просьбу игнорируют
, — пожаловалась Савченко, общаясь с журналистам.Пока депутата сопровождают сестра Вера, помощница Татьяна Проторченко и пару десятков сторонников, среди которых несколько ветеранов войны в Донбассе. Все они заявляют, что планируют появиться и на следующее судебное заседание.";"Донбасс;МВД;СБУ;Украина;Надежда Савченко";"Донбасс;МВД;Украина"
Март Хельме: у нас два кандидата в министры. Имя будет названо завтра;"Сегодня во второй половине дня в Рийгикогу собралось правление EKRE. Перед собранием лидер партии Март Хельме сказал Delfi, что сегодня имя нового кандидата в министры обнародовано не будет.. Хельме сказал, что имеется две кандидатуры — мужчина и женщина, и что оба кандидата не состоят в партии. По его заверению, имя будет названо завтра.Также Хельме сообщил, что EKRE начинает переговоры об объединении с Партией народного единства.";"Март Хельме;Рийгикогу;EKRE;Партия народного единства";кандидат
Следствие сочло ошибкой экипажа SSJ включенные двигатели и открытое окно;"После допросов пилотов сгоревшего SSJ100 следователи сделали вывод об ошибках экипажа. После приземления пилоты не выключили двигатели, кроме того, в кабине было открыто окно, что могло косвенно повлиять на распространение огня.. Сотрудники Следственного комитета и Росавиации проверяют действия экипажа сгоревшего в столичном аэропорту Шереметьево самолета Sukhoi Superjet 100. Уже выявлены несколько допущенных экипажем ошибок, в связи с этим ведется проверка системы обучения пилотов ”Аэрофлота”, рассказали РБК собеседники, знакомые с ходом расследования.Источник в Следственном комитете рассказал РБК, что летчики допустили ряд ошибок, которые косвенно повлияли на распространение пламени. ”Из опроса пилотов Дениса Евдокимова и Максима Кузнецова ясно, что после приземления самолета они открыли в кабине боковое открывающееся окно”, — рассказал собеседник в СКР. Это действие экипажа могло усилить тягу воздуха и, соответственно, скорость горения, отметил он. Информацию подтвердил собеседник в Росавиации.Также к усилению горения мог привести тот факт, что пилоты не выключили двигатели самолета сразу после посадки — ”двигатели работали до того момента, пока их не потушили”, — рассказал источник в СКР.Сотрудники Росавиации проводят внеплановую проверку компании ”Аэрофлот” после авиакатастрофы в Шереметьево, рассказал РБК источник близкий к ведомству, информацию подтвердил источник в компании.РБК направил запрос в пресс-службу ”Аэрофлота”.”Проверка коснется в первую очередь компетенций летного и технического директоров компании-перевозчика, также сотрудники Росавиации просматривают документацию, касающуюся подготовки пилотов авиакомпании”, — рассказал источник, близкий к ведомству. За подготовку летного состава в ”Аэрофлоте” отвечает заместитель генерального директора — летный директор Игорь Чалик.Проверяющих из Росавиации прежде всего интересует, проходил ли экипаж сгоревшего судна подготовку в учебном центре ”Аэрофлота” и соответствует ли эта подготовка установленным нормам, отметил собеседник. По его словам, при переучивании на другой тип судна экипаж должен был обкатывать на тренажере те ситуации, с которыми столкнулся SSJ во время рейса Москва — Мурманск. ”Зачастую в авиакомпаниях летчики проходят такую подготовку не в полном объеме”, — отмечает собеседник. Первая информация об инциденте говорит о том, что у экипажа не было навыков по отработке вывода воздушного судна из сложного пространственного положения, считает источник.Он отметил, что командир самолета 43-летний Денис Евдокимов имеет 1500 часов налета на SSJ. У второго пилота 36-летнего Максима Кузнецова 600 часов налета на Superjet. ”Экипаж в обязательном порядке отрабатывает такие ситуации на тренажере”, — сказал источник РБК в ”Аэрофлоте”.Проверяющие из Росавиации также изучают документы, касающиеся режима труда и отдыха пилотов. ”За трое суток, предшествовавших инциденту в Шереметьево, Евдокимов совершил три рейса и провел в воздухе десять часов”, — рассказал собеседник, близкий к ведомству.”У пилота до выполнения рейса было два дня отдыха”, — сказал РБК источник в ”Аэрофлоте”.Авиакатастрофа SSJ100 произошла в Шереметьево вечером 5 мая. Выполнявший рейс Москва — Мурманск самолет запросил возвращение в Шереметьево после попадания молнии, из-за которого произошел сбой электроники, в том числе проблемы с радиосвязью. Экипаж принял решение сажать самолет с полными топливными баками. При посадке самолет загорелся. В результате произошедшего на борту пожара, по последним данным, погиб 41 человек из 78 находившихся на борту.СК возбудил уголовное дело по ч. 3 ст. 263 УК (нарушение правил безопасности движения и эксплуатации воздушного транспорта, повлекшее по неосторожности смерть двух и более лиц). Расследование поручено сотрудникам центрального аппарата ведомства.";"Аэрофлот;Шереметьево;Москва";"самолет;аэрофлот"
Датская прокуратура предъявила бывшему руководителю Danske Bank обвинение в связи с отмыванием денег в Эстонии;"Прокуратура Дании предъявила бывшему руководителю Danske Bank Томасу Боргену обвинение в связи с делом об отмывании денег в Эстонии, передает Reuters со ссылкой на датскую газету Borsen. Danske Bank связан с одним из крупнейших в мире скандалов с отмыванием денег.. Дом Боргена обыскивали 12 марта.Расследование в отношении Danske Bank ведется в связи с движением подозрительных денег в сумме 200 млрд евро через эстонский филиал в 2007-2015 годах.Reutersi не удалось связаться ни с адвокатом ушедшего в отставку бывшего председателя правления Danske Bank Томаса Боргена, ни с прокурором.";"Danske Bank;Дания;Эстония";расследование
Опубликована полная хронология авиакатастрофы в Шереметьево;"”Радио Свобода” опубликовало полную хронологию катастрофы самолета Sukhoi Superjet 100 (SSJ-100) в московском аэропорту Шереметьево. Тайм-лайн составлен на основе данных сервиса FlightRadar, показаний членов экипажа (командира воздушного судна (КВС) Дениса Евдокимова, диспетчера аэропорта Дениса Наумкина, бортпроводницы рейса Татьяны Касаткиной) и выживших пассажиров, а также мнений экспертов.. 18:02. Лайнер SSJ-100 набрал скорость и оторвался от взлетно-посадочной полосы в Шереметьево (по словам Дениса Евдокимова и Дениса Наумкина). Сервис FlightRadar указывает, что самолет взлетел в 18:03. Как рассказала бортпроводница Татьяна Касаткина, воздушное судно сразу после взлета попало в тучу, за бортом был слышен шум града.”Через грозовой фронт категорически запрещаются полеты, категорически! Грозовой фронт надо обходить. И влетать в него — это чревато очень негативными последствиями”, — заявил летчик 1-го класса Андрей Литвинов.18:07. В самолет ударила молния. По данным трека FlightRadar, удар произошел через 5-6 минут после взлета на высоте около двух тысяч метров и скорости почти 500 километров в час. Одним из тех, кто увидел молнию, стал пассажир Олег Молчанов. Вспышку он заметил на правом крыле. ”После удара молнии, когда вышли из облака, бортпроводник по громкой связи сообщила, что пилот принял решение вернуться в связи технической необходимостью, неполадками, технической причиной — точно не помню”, — сказал Молчанов.18:11. Пилоты сообщили диспетчерам о проблемах со связью и бортовой автоматикой. КВС рейса Денис Евдокимов рассказал, что из-за молнии борт потерял радиосвязь и перешел в аварийный режим управления. Связь удалось восстановить через частоту на второй радиостанции, но она была кратковременно-прерывистой.18:20. Лайнер начал снижение на посадку. По словам Евдокимова, скорость у самолета в этот момент была небольшая. Заявление командира судна опроверг анонимный пилот, комментарий которого приводит Baza. Он отметил, что скорость при заходе на посадку с превышением посадочной массы не может быть небольшой. ”Этому есть две причины. Первая — превышение посадочной массы требует большей подъемной силы, а соответственно скорости. Вторая — в случае перехода в Direct Law ( упрощенный
 режим управления, в который лайнер, по словам Евдокимова, перешел после удара молнией — прим. ”Ленты.ру”) приборная скорость должна быть увеличена”, — сказал эксперт.18:30. Произошло первое касание лайнера взлетно-посадочной полосы в Шереметьево. Самолет начал ”прыгать” по земле. После очередного такого прыжка стойки шасси не выдержали, повредив баки с горючим. Топливо попало на раскаленный двигатель и загорелось.”Само приземление было непонятное: касание, отрыв, затем попытка экипажа посадить со второго раза, опять касание, опять отрыв — уже повыше, и уже после третьего отрыва, самого высокого, мы стали кричать, не в эфир, разумеется: 
Уходи на второй круг, уходи!
” — сказал диспетчер Денис Наумкин.Пассажир Олег Молчанов отметил, что до остановки судна почти все сидели на своих местах. Тем не менее Татьяна Касаткина заявила, что пассажиры последних рядов пытались выползти из горящего хвоста к выходам, когда самолет был еще на скорости.18:31. Охваченный огнем лайнер остановился. Пожар по нему распространился стремительно. Командир воздушного судна объявил аварийную эвакуацию, после чего из кабины вышел второй пилот, а затем и сам Денис Евдокимов.”Все было очень быстро, я уже не смотрела, каждого помогала эвакуировать, каждого за воротник вытаскивала”, — сказала бортпроводница Касаткина.18:32. К месту катастрофы спустя минуту после приземления лайнера прибыла первая пожарная машина. Это в три раза быстрее, чем норматив — 180 секунд. Еще через четыре минуты у горящего судна находилось уже семь пожарных расчетов. ”МЧС приехало быстро, но даже если бы и медленно, спасать там было некого. Учитывая общий бардак и несогласованность служб, все пострадавшие были окружены вниманием, поддержкой, едой и даже была водка. Правда одна бутылка, но хоть что-то”, — отметил пассажир Молчанов.18:32. Эвакуация выживших завершилась. Официальный представитель ”Аэрофлота” заявил, что все живые пассажиры были спасены уже через 55 секунд при нормативе в 90 секунд.18:50. Открытое горение SSJ-100 потушено.Самолет SSJ-100 загорелся при аварийной посадке в столичном аэропорту Шереметьево 5 мая. Он следовал рейсом Москва — Мурманск, но был вынужден вернуться в аэропорт вылета. По данным Следственного комитета России, в результате авиакатастрофы погиб 41 человек, среди которых один бортпроводник; выжили 37, включая четырех членов экипажа.";"Шереметьево;Аэрофлот;МЧС;Москва;Россия";авиакатастрофа
Британцы будут участвовать в выборах депутатов Европарламента;"По словам заместителя премьер-министра Терезы Мэй, завершить процесс выхода из состава ЕС до определенной законом даты выборов в Европарламент не представляется возможным.. Жители Великобритании, независимо от исхода переговоров правительства и оппозиции по вопросам Брекзита , будут участвовать в выборах депутатов Европейского парламента, которые пройдут в странах ЕС с 23 по 26 мая. Об этом сообщил агентству AFP во вторник, 7 мая, глава секретариата кабинета министров Соединенного Королевства Дэвид Лидингтон, который фактически является заместителем премьер-министра Терезы Мэй. По его словам, завершить процесс выхода из состава ЕС до определенной законом даты выборов в Европарламент не представляется возможным.Ранее он же заявил, что правительство Великобритании собирается провести договор о  Брекзите через нижнюю палату парламента еще до первого заседания Европарламента нового созыва в июле. По словам Лидингтона, все будет зависеть от переговоров с оппозиционной Лейбористской партией, которые, как он считает, проходят в продуктивной атмосфере.На фоне угрозы неконтролируемого Брекзита Депутаты Палаты общин уже трижды отклоняли договор о Брекзите, согласованный Мэй с Брюсселем. Начиная с 3 апреля правительство ведет консультации с лидерами лейбористов, пытаясь найти необходимый компромисс. Без одобрения парламента Великобритании 31 октября грозит неконтролируемый Брекзит.Согласно графику проведения выборов в Европарламент нового созыва, британцев пригласят на избирательные участки 23 мая. Квота Соединенного Королевства — 73 мандата. Всего в новом составе законодательного органа ЕС будет работать 751 депутат.";"Европарламент;ЕС;Тереза Мэй;Великобритания";"Брекзит;Великобритания;Европарламент;выборы"
Искусственный разум: Германия готовит к будущему;"Ожидается, что европейский рынок искусственного интеллекта в ближайшие пять лет вырастет в пять раз. Где в Германии можно стать экспертом в ИИ и получить профессию будущего?. 2019 год в немецкой науке объявлен годом искусственного интеллекта (ИИ). Германия планирует выйти в лидеры в области искусственного интеллекта и обогнать США и Китай, привлекая ведущих мировых специалистов. DW разобралась, какие возможности есть в этой стране у студентов, интересующихся интеллектуальными системами. Сейчас в области искусственного интеллекта основные разработки ведутся в машинном обучении, машинном зрении и робототехнике. Все эти технологии можно освоить в немецких вузах.Нейронная сеть защитит от гусейСармед Хусаин (Sarmed Hussain) — физик, но одна из задач, над которой он работает в Боннском университете, напрямую связана с искусственным интеллектом. Он разрабатывает прибор на основе нейронной сети для защиты мест гнездования сапсанов от нильских гусей.Прототип уже два года успешно охраняет от ""захватчиков"" башню церкви Святого Духа в Гейдельберге: когда машина на основе ИИ ""видит"" на камере незваного гостя, она запускает запись шумов, которые отпугивают птицу. Но в храме используется обычный компьютер, а Сармед Хусаин сейчас адаптирует программу для Raspberry Pi — одноплатного компьютера размером с кредитную карту. Добавить к нему батареи — и прибор сможет работать даже в чистом поле. ""Нильские гуси являются проблемой и для сельского хозяйства, они загрязняют прогулочные дорожки и открытые бассейны. Это довольно агрессивные птицы, которые не боятся людей"", — отмечает молодой ученый в интервью DW. Когда прибор на основе ИИ будет готов, любой желающий сможет ознакомиться с его описанием в базе данных Немецкого общества защиты животных.По словам Сармеда Хусаина, умение работать над искусственной интеллектом — необходимый навык для современного ученого и инженера. И поэтому он рад, что смогосвоить его в университете в рамках своей научной работы.Но вузы Германии предоставляют возможность изучить ИИ и как основную специализацию. Для этого нужно искать подраздел информатики Data Science (наука о данных). Бакалавров в этом сфере готовят, например, университеты Марбурга, Гёттингена, Кельна и Штутгарта. Магистерские программы предлагают в Мюнхене, Дармштадте, Потсдаме и Хемнице.Искусственный интеллект будет обучать медсестерПри некоторых университетах уже созданы отдельные институты искусственного интеллекта. Например, такой функционирует в Высшей школе Равенсбург-Вайнгартен. Сейчас ученые под руководством профессора Вольфганга Эртеля (Wolfgang Ertel) ведут сразу шесть разработок на основе ИИ.Один из проектов под названием Ertrag — тренажер для медицинского персонала. Медсестрам важно еще во время обучения освоить движения, которые снизят для них риск надорвать спину во время перекладывания и транспортировки больных. Планируется, что тренировки будет проводить машина.""Компьютер будет строить на основе видео модель скелета учащегося и потом с помощью искусственного интеллекта распознавать, были ли движения правильными, — объясняет DW профессор Эртель. — Программа будет давать советы в режиме реального времени"". Такая система в будущем сможет учить не только медсестер, но и людей, которые дома ухаживают за больными родственниками. Другая область применения — спорт и танцы, где правильные движения тоже очень важны.По информации платформы Lernende Systeme, которая была создана по инициативе министерства образования ФРГ, в данный момент немецкие университеты и научные центры ведут более 160 проектов с использованием ИИ.Долина искусственного интеллектаДля выпускников вузов с магистерской степенью Германия предоставляет возможность пройти обучение в аспирантуре (PhD) и защитить диссертацию по тематике искусственного интеллекта. Одну из таких программ с 2017 года предлагает Международная исследовательская школа интеллектуальных систем IMPRS-IS при Институте интеллектуальных систем Общества имени Макса Планка.При приеме сюда иностранные ученые имеют особый приоритет — планируется, что они составят 70 процентов выпускников школы. ""Сейчас у нас большой поток заявок на участие в программе, — рассказывает Линда Берингер (Linda Behringer), пресс-секретарь Института интеллектуальных систем. — Но мы внимательно изучим резюме и мотивационные письма всех кандидатов"". Ограничений по специальностям нет. Среди ее студентов есть биологи, математики, программисты, специалисты в нейрологии и бионике.Особенность этой Школы в том, что она входит в самое крупное объединение в Европе, которое занимается машинным интеллектом — Cyber Valley . ""Кибер-долина"" в Баден-Вюртемберге — это глобальный проект немецкого правительства по выходу в лидеры в области ИИ. Его партнерами являются такие гиганты, как BMW, Daimler, Porsche, Bosch и Amazon.Аспиранты смогут перенять опыт у ведущих ученых — сейчас в Cyber Valley работает восемь исследовательских групп из университетов Штутгарта и Тюбингена, а также Института интеллектуальных систем Общества имени Макса Планка. Одни занимаются фундаментальной наукой — создают электронную копию мозга млекопитающих. Другие решают прикладные задачи: например, изучают отношение больных анорексией к своему телу, моделируя с помощью искусственного интеллекта ""потолстевшие"" или ""похудевшие"" 3D-копии исследуемых людей.";"ФРГ;Raspberry Pi;Германия;Европа;Bosch;Porsche;Кельн;Китай;США;Daimler;3D;Amazon;BMW";"искусственный интеллект;разработка"
